#,"Date Time, GMT-04:00","Temp, °C (LGR S/N: 10638853, SEN S/N: 10638853)","Intensity, Lux (LGR S/N: 10638853, SEN S/N: 10638853)","Coupler Attached (LGR S/N: 10638853, SEN S/N: 10638853)","Host Connected (LGR S/N: 10638853, SEN S/N: 10638853)","Stopped (LGR S/N: 10638853, SEN S/N: 10638853)","End Of File (LGR S/N: 10638853, SEN S/N: 10638853)"
1,6/9/2016 16:00,21.569,8611.2,,,,
2,6/9/2016 17:00,20.329,4305.6,,,,
3,6/9/2016 18:00,18.521,1270.1,,,,
4,6/9/2016 19:00,18.14,742.7,,,,
5,6/9/2016 20:00,17.57,75.3,,,,
6,6/9/2016 21:00,17.475,0,,,,
7,6/9/2016 22:00,17.189,0,,,,
8,6/9/2016 23:00,16.141,0,,,,
9,6/10/2016 0:00,15.855,0,,,,
10,6/10/2016 1:00,14.709,0,,,,
11,6/10/2016 2:00,14.134,0,,,,
12,6/10/2016 3:00,14.325,0,,,,
13,6/10/2016 4:00,13.846,0,,,,
14,6/10/2016 5:00,12.304,53.8,,,,
15,6/10/2016 6:00,14.134,2152.8,,,,
16,6/10/2016 7:00,22.238,8266.7,,,,
17,6/10/2016 8:00,22.812,8611.2,,,,
18,6/10/2016 9:00,18.901,5338.9,,,,
19,6/10/2016 10:00,19.282,5338.9,,,,
20,6/10/2016 11:00,19.187,5166.7,,,,
21,6/10/2016 12:00,20.234,5338.9,,,,
22,6/10/2016 13:00,20.615,5166.7,,,,
23,6/10/2016 14:00,21.282,5338.9,,,,
24,6/10/2016 15:00,21.664,5338.9,,,,
25,6/10/2016 16:00,21.473,8611.2,,,,
26,6/10/2016 17:00,23.292,28933.5,,,,
27,6/10/2016 18:00,19.567,13089,,,,
28,6/10/2016 19:00,16.713,6544.5,,,,
29,6/10/2016 20:00,12.98,344.4,,,,
30,6/10/2016 21:00,12.304,0,,,,
31,6/10/2016 22:00,11.528,0,,,,
32,6/10/2016 23:00,11.819,0,,,,
33,6/11/2016 0:00,11.722,0,,,,
34,6/11/2016 1:00,12.11,0,,,,
35,6/11/2016 2:00,12.497,0,,,,
36,6/11/2016 3:00,13.558,0,,,,
37,6/11/2016 4:00,13.75,0,,,,
38,6/11/2016 5:00,12.883,86.1,,,,
39,6/11/2016 6:00,19.662,6544.5,,,,
40,6/11/2016 7:00,24.835,11022.3,,,,
41,6/11/2016 8:00,22.525,6544.5,,,,
42,6/11/2016 9:00,21.473,5511.1,,,,
43,6/11/2016 10:00,20.996,6544.5,,,,
44,6/11/2016 11:00,19.187,4822.3,,,,
45,6/11/2016 12:00,21.664,6200,,,,
46,6/11/2016 13:00,21.76,6200,,,,
47,6/11/2016 14:00,20.043,3272.2,,,,
48,6/11/2016 15:00,16.808,1722.2,,,,
49,6/11/2016 16:00,15.855,688.9,,,,
50,6/11/2016 17:00,15.378,452.1,,,,
51,6/11/2016 18:00,15.473,172.2,,,,
52,6/11/2016 19:00,16.141,753.5,,,,
53,6/11/2016 20:00,15.855,183,,,,
54,6/11/2016 21:00,16.046,0,,,,
55,6/11/2016 22:00,15.76,0,,,,
56,6/11/2016 23:00,15.664,0,,,,
57,6/12/2016 0:00,15.378,0,,,,
58,6/12/2016 1:00,15.187,0,,,,
59,6/12/2016 2:00,14.9,0,,,,
60,6/12/2016 3:00,15.091,0,,,,
61,6/12/2016 4:00,14.9,0,,,,
62,6/12/2016 5:00,15.569,64.6,,,,
63,6/12/2016 6:00,20.519,5166.7,,,,
64,6/12/2016 7:00,25.61,9644.5,,,,
65,6/12/2016 8:00,25.416,9300.1,,,,
66,6/12/2016 9:00,23.966,5338.9,,,,
67,6/12/2016 10:00,21.664,4650,,,,
68,6/12/2016 11:00,24.158,5338.9,,,,
69,6/12/2016 12:00,26.292,5166.7,,,,
70,6/12/2016 13:00,29.252,5166.7,,,,
71,6/12/2016 14:00,27.567,4133.4,,,,
72,6/12/2016 15:00,26.879,5166.7,,,,
73,6/12/2016 16:00,27.468,8611.2,,,,
74,6/12/2016 17:00,28.159,23422.4,,,,
75,6/12/2016 18:00,24.835,15155.7,,,,
76,6/12/2016 19:00,20.901,6544.5,,,,
77,6/12/2016 20:00,17.475,290.6,,,,
78,6/12/2016 21:00,16.903,0,,,,
79,6/12/2016 22:00,15.473,0,,,,
80,6/12/2016 23:00,14.613,0,,,,
81,6/13/2016 0:00,14.23,0,,,,
82,6/13/2016 1:00,13.654,0,,,,
